epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2844,1.66462,2.29281,1.11327,0.43489,0.21925,0.24209,0.14025,1.44874,1.53343,1.03232,0.00030082,0.00030082,0.00030082
2,81.0898,1.53469,1.27015,1.06452,0.36508,0.39352,0.33063,0.19495,1.38484,1.13309,1.00248,0.000597842,0.000597842,0.000597842
3,119.955,1.48125,1.12762,1.05512,0.35796,0.25896,0.256,0.14412,1.48208,1.50684,1.03886,0.000888865,0.000888865,0.000888865
4,159.195,1.46286,1.044,1.04794,0.40589,0.43772,0.37258,0.21967,1.31871,1.00666,0.9933,0.000882003,0.000882003,0.000882003
5,198.184,1.42075,0.96176,1.03232,0.53675,0.42919,0.43682,0.26577,1.33696,0.9241,0.98862,0.000873004,0.000873004,0.000873004
6,237.758,1.3961,0.9104,1.02775,0.52339,0.45836,0.43185,0.25858,1.35069,0.94409,0.99575,0.000864004,0.000864004,0.000864004
7,275.643,1.40232,0.88493,1.02568,0.59611,0.45293,0.46762,0.28619,1.28822,0.92064,0.98289,0.000855005,0.000855005,0.000855005
8,313.557,1.36298,0.84665,1.01303,0.57226,0.45939,0.49966,0.30631,1.25212,0.86631,0.97067,0.000846006,0.000846006,0.000846006
9,351.199,1.35392,0.832,1.01135,0.53921,0.41758,0.41399,0.24034,1.34623,0.90092,0.98836,0.000837007,0.000837007,0.000837007
10,388.703,1.32957,0.79892,1.00113,0.59542,0.44277,0.49197,0.31222,1.2417,0.8094,0.96694,0.000828008,0.000828008,0.000828008
11,426.134,1.31521,0.78283,0.9983,0.56536,0.49695,0.52307,0.30709,1.2172,0.93769,0.96456,0.000819009,0.000819009,0.000819009
12,463.777,1.30805,0.77504,0.99834,0.57608,0.50756,0.54999,0.34569,1.21364,0.81094,0.96218,0.00081001,0.00081001,0.00081001
13,501.815,1.26942,0.74225,0.9849,0.58664,0.50597,0.51178,0.31615,1.22603,0.84507,0.96189,0.000801011,0.000801011,0.000801011
14,540.174,1.29153,0.75289,0.99101,0.55494,0.48361,0.50391,0.31833,1.27334,0.79577,0.97043,0.000792012,0.000792012,0.000792012
15,579.852,1.27113,0.73739,0.9844,0.59734,0.52688,0.55099,0.33564,1.25149,0.78994,0.97318,0.000783013,0.000783013,0.000783013
16,620.172,1.25019,0.71284,0.9798,0.54766,0.5069,0.50546,0.30603,1.25926,0.80941,0.96735,0.000774013,0.000774013,0.000774013
17,658.879,1.26742,0.72776,0.98224,0.56797,0.51014,0.51344,0.31745,1.28127,0.81526,0.97401,0.000765014,0.000765014,0.000765014
18,697.086,1.24281,0.71065,0.97339,0.53645,0.49804,0.49938,0.31146,1.25378,0.78316,0.97419,0.000756015,0.000756015,0.000756015
19,735.57,1.23237,0.70118,0.97012,0.50019,0.58649,0.56101,0.35836,1.18787,0.74175,0.95578,0.000747016,0.000747016,0.000747016
20,773.955,1.23037,0.70122,0.97288,0.50206,0.54967,0.53917,0.33282,1.22337,0.7425,0.9663,0.000738017,0.000738017,0.000738017
21,811.237,1.22782,0.69586,0.97449,0.6794,0.53227,0.60255,0.37429,1.22449,0.72888,0.95823,0.000729018,0.000729018,0.000729018
22,849.443,1.20786,0.67583,0.96405,0.63322,0.56329,0.60346,0.36836,1.19832,0.73415,0.95809,0.000720019,0.000720019,0.000720019
23,886.955,1.20339,0.67529,0.96304,0.54024,0.57152,0.53962,0.34022,1.24929,0.76007,0.96309,0.00071102,0.00071102,0.00071102
24,924.563,1.19802,0.66295,0.95964,0.6634,0.57925,0.61136,0.37074,1.23351,0.72463,0.96106,0.000702021,0.000702021,0.000702021
25,963.073,1.19203,0.66712,0.96025,0.64326,0.52664,0.56647,0.3703,1.22385,0.72961,0.95829,0.000693022,0.000693022,0.000693022
26,1000.85,1.17593,0.65408,0.95506,0.6042,0.54405,0.56542,0.35492,1.24541,0.742,0.95902,0.000684022,0.000684022,0.000684022
27,1039.14,1.16423,0.64616,0.95324,0.6271,0.56237,0.58426,0.35461,1.22027,0.73837,0.96282,0.000675023,0.000675023,0.000675023
28,1077.57,1.1863,0.64992,0.95681,0.56632,0.57769,0.56613,0.35636,1.24072,0.74279,0.95901,0.000666024,0.000666024,0.000666024
29,1115.68,1.17167,0.64369,0.95597,0.6872,0.57296,0.61766,0.39032,1.16149,0.69485,0.94421,0.000657025,0.000657025,0.000657025
30,1153.64,1.14582,0.63308,0.94752,0.59801,0.58473,0.59846,0.38349,1.18955,0.69654,0.9528,0.000648026,0.000648026,0.000648026
31,1191.64,1.16786,0.64169,0.94988,0.60581,0.54205,0.55774,0.34317,1.23704,0.7399,0.96091,0.000639027,0.000639027,0.000639027
