epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8788,1.76603,2.67322,1.23865,0.29928,0.30723,0.24251,0.12901,1.55656,1.54939,1.11323,0.000254817,0.000254817,0.000254817
2,101.096,1.63094,1.48163,1.19161,0.39062,0.41882,0.36946,0.20099,1.45584,1.31092,1.08656,0.00050609,0.00050609,0.00050609
3,148.114,1.57289,1.32761,1.17147,0.46188,0.41787,0.37641,0.21507,1.411,1.21192,1.06627,0.000752287,0.000752287,0.000752287
4,194.814,1.55931,1.25428,1.17251,0.45361,0.45473,0.39748,0.22377,1.45363,1.1803,1.11697,0.000746161,0.000746161,0.000746161
5,242.163,1.50144,1.15839,1.15134,0.52739,0.48629,0.48242,0.26986,1.35789,1.03595,1.05635,0.000738548,0.000738548,0.000738548
6,290.038,1.49935,1.1166,1.14146,0.53254,0.47856,0.48403,0.2729,1.33431,1.00926,1.05792,0.000730935,0.000730935,0.000730935
7,337.981,1.4679,1.07086,1.12417,0.59753,0.47919,0.50985,0.29005,1.3312,1.1112,1.05911,0.000723321,0.000723321,0.000723321
8,384.483,1.45062,1.0309,1.12017,0.59238,0.5207,0.54482,0.3104,1.33526,0.931,1.04102,0.000715708,0.000715708,0.000715708
9,431.163,1.4288,1.00386,1.10506,0.5905,0.5247,0.55265,0.31607,1.32366,0.93725,1.04345,0.000708095,0.000708095,0.000708095
10,478.47,1.40997,0.97684,1.10151,0.58399,0.56691,0.57115,0.32085,1.3018,0.87645,1.02519,0.000700482,0.000700482,0.000700482
11,525.741,1.41951,0.98314,1.10039,0.65752,0.53176,0.57959,0.33199,1.29013,0.87503,1.02585,0.000692869,0.000692869,0.000692869
12,572.978,1.38529,0.93164,1.08458,0.66706,0.52604,0.57572,0.33013,1.29412,0.85718,1.02968,0.000685256,0.000685256,0.000685256
13,619.658,1.36982,0.93016,1.07614,0.6207,0.54328,0.57948,0.33676,1.27733,0.83878,1.02067,0.000677643,0.000677643,0.000677643
14,665.458,1.36012,0.90334,1.07382,0.5837,0.55899,0.5664,0.3168,1.31635,0.86264,1.03208,0.00067003,0.00067003,0.00067003
15,711.938,1.35932,0.89651,1.06956,0.62814,0.54898,0.57605,0.33181,1.29975,0.83486,1.02233,0.000662417,0.000662417,0.000662417
16,758.912,1.34074,0.87907,1.06037,0.60753,0.55426,0.58879,0.33424,1.29023,0.82821,1.02134,0.000654804,0.000654804,0.000654804
17,805.334,1.32865,0.86756,1.05923,0.6244,0.54507,0.58401,0.34792,1.25712,0.8046,1.01397,0.00064719,0.00064719,0.00064719
18,852.716,1.33746,0.87187,1.05833,0.56983,0.53367,0.54431,0.3036,1.34278,0.89196,1.04019,0.000639577,0.000639577,0.000639577
19,899.641,1.31754,0.85677,1.05065,0.66188,0.57746,0.62168,0.3577,1.28307,0.80142,1.01357,0.000631964,0.000631964,0.000631964
20,946.835,1.32202,0.86166,1.05519,0.62123,0.56817,0.60266,0.35356,1.25278,0.79498,1.00781,0.000624351,0.000624351,0.000624351
21,993.762,1.30767,0.83853,1.04424,0.63484,0.60901,0.62879,0.37157,1.23581,0.77784,0.99901,0.000616738,0.000616738,0.000616738
22,1039.97,1.31547,0.83873,1.04213,0.63625,0.59078,0.61299,0.36073,1.23289,0.75895,0.99951,0.000609125,0.000609125,0.000609125
23,1103.88,1.28904,0.81245,1.03509,0.64432,0.56546,0.59501,0.33653,1.25555,0.81145,1.00333,0.000601512,0.000601512,0.000601512
24,1150.52,1.28178,0.81715,1.0354,0.65096,0.5692,0.61191,0.35936,1.23747,0.77754,1.00369,0.000593899,0.000593899,0.000593899
25,1196.88,1.27628,0.8136,1.03469,0.65267,0.56897,0.59985,0.34423,1.30183,0.80741,1.01212,0.000586286,0.000586286,0.000586286
26,1243.62,1.27457,0.81805,1.03568,0.61859,0.58786,0.6098,0.35087,1.24447,0.78728,1.0027,0.000578672,0.000578672,0.000578672
27,1290.03,1.2634,0.79963,1.03001,0.63531,0.58092,0.59836,0.33982,1.31313,0.79794,1.01233,0.000571059,0.000571059,0.000571059
28,1336.32,1.26094,0.79972,1.02711,0.65948,0.59462,0.62058,0.35459,1.25281,0.78108,1.0014,0.000563446,0.000563446,0.000563446
29,1382.45,1.25548,0.78776,1.02741,0.67041,0.6134,0.6472,0.38187,1.22143,0.7533,0.99045,0.000555833,0.000555833,0.000555833
30,1432.47,1.25679,0.77999,1.02254,0.62523,0.57493,0.602,0.34955,1.26569,0.81569,1.00879,0.00054822,0.00054822,0.00054822
31,1479.22,1.25495,0.78474,1.02411,0.65674,0.59788,0.63372,0.37465,1.24217,0.76048,0.9993,0.000540607,0.000540607,0.000540607
32,1525.57,1.25272,0.77369,1.02223,0.66315,0.61685,0.64295,0.37745,1.23983,0.75412,0.99694,0.000532994,0.000532994,0.000532994
33,1573.5,1.23936,0.76591,1.01686,0.65545,0.5973,0.63185,0.37307,1.25521,0.75008,0.99723,0.000525381,0.000525381,0.000525381
34,1620.03,1.23423,0.76913,1.02105,0.65468,0.58286,0.62578,0.36638,1.22375,0.76009,0.99208,0.000517768,0.000517768,0.000517768
35,1666.78,1.23516,0.7641,1.01886,0.68335,0.59833,0.63792,0.38527,1.215,0.7516,0.99019,0.000510155,0.000510155,0.000510155
36,1713.89,1.22401,0.76304,1.01442,0.64388,0.60183,0.62894,0.36981,1.22553,0.75944,0.99405,0.000502541,0.000502541,0.000502541
37,1760.82,1.20543,0.75016,1.01211,0.65897,0.609,0.6451,0.37548,1.23863,0.7443,0.99493,0.000494928,0.000494928,0.000494928
38,1807.63,1.21207,0.7411,1.00615,0.65753,0.62472,0.65955,0.39874,1.19671,0.71579,0.98462,0.000487315,0.000487315,0.000487315
39,1854.37,1.21291,0.75108,1.01339,0.68208,0.61336,0.64907,0.39719,1.19634,0.71412,0.98691,0.000479702,0.000479702,0.000479702
40,1901.52,1.2073,0.73896,1.00783,0.67436,0.60168,0.64018,0.38215,1.20288,0.73166,0.98593,0.000472089,0.000472089,0.000472089
41,1948.01,1.18914,0.73084,0.99991,0.68394,0.59767,0.64292,0.38347,1.22549,0.7329,0.98962,0.000464476,0.000464476,0.000464476
42,1995.18,1.20308,0.74116,1.00649,0.62952,0.59538,0.61623,0.36435,1.26632,0.7442,0.99461,0.000456863,0.000456863,0.000456863
43,2041.73,1.19632,0.7347,1.00314,0.6671,0.58677,0.62544,0.37434,1.24948,0.73755,0.99497,0.00044925,0.00044925,0.00044925
44,2088.21,1.18878,0.73733,1.0044,0.65059,0.60562,0.63073,0.36632,1.24512,0.75383,0.99474,0.000441637,0.000441637,0.000441637
45,2134.92,1.18376,0.72382,0.99894,0.68644,0.60621,0.65549,0.39413,1.21009,0.70863,0.98914,0.000434024,0.000434024,0.000434024
46,2196.12,1.19035,0.7193,0.99534,0.67228,0.61891,0.6455,0.38012,1.21848,0.71247,0.98579,0.000426411,0.000426411,0.000426411
47,2243.02,1.17103,0.71765,0.9912,0.66852,0.60295,0.64442,0.3771,1.25333,0.72537,0.99628,0.000418797,0.000418797,0.000418797
48,2289.45,1.16353,0.70889,0.99689,0.67598,0.60799,0.6425,0.37333,1.25818,0.73427,0.99721,0.000411184,0.000411184,0.000411184
49,2336.03,1.16559,0.7103,0.99099,0.70922,0.60635,0.65734,0.38818,1.21095,0.70113,0.98641,0.000403571,0.000403571,0.000403571
50,2382.16,1.16194,0.70007,0.98876,0.69404,0.59988,0.65476,0.38794,1.21673,0.71945,0.98882,0.000395958,0.000395958,0.000395958
51,2428.93,1.16774,0.71019,0.99466,0.6762,0.60596,0.64652,0.37814,1.25263,0.71578,0.99868,0.000388345,0.000388345,0.000388345
52,2475.97,1.15855,0.7058,0.98843,0.68875,0.59873,0.65514,0.38664,1.21279,0.70112,0.98611,0.000380732,0.000380732,0.000380732
53,2522.17,1.14587,0.69173,0.9825,0.69057,0.60581,0.64825,0.38078,1.23149,0.72239,0.99355,0.000373119,0.000373119,0.000373119
54,2568.48,1.15935,0.70828,0.98967,0.67729,0.6164,0.65958,0.38796,1.20629,0.70332,0.98667,0.000365506,0.000365506,0.000365506
55,2614.64,1.14429,0.69407,0.98666,0.68918,0.60968,0.65361,0.38476,1.20706,0.70604,0.98741,0.000357893,0.000357893,0.000357893
56,2660.85,1.15518,0.69836,0.98716,0.68658,0.61046,0.6624,0.39396,1.21809,0.70072,0.98922,0.00035028,0.00035028,0.00035028
57,2707.2,1.13987,0.68911,0.98217,0.70777,0.61316,0.65718,0.38108,1.22667,0.71009,0.99151,0.000342666,0.000342666,0.000342666
58,2753.88,1.14037,0.69496,0.98595,0.67301,0.62565,0.66142,0.38815,1.20025,0.70342,0.98606,0.000335053,0.000335053,0.000335053
59,2799.91,1.11794,0.67814,0.97914,0.69864,0.61727,0.661,0.38852,1.22648,0.70743,0.99118,0.00032744,0.00032744,0.00032744
60,2846.15,1.13008,0.68801,0.97916,0.70466,0.60987,0.65494,0.38915,1.20868,0.71001,0.98729,0.000319827,0.000319827,0.000319827
61,2892.6,1.13002,0.68399,0.97925,0.68372,0.62153,0.65735,0.3904,1.21825,0.71314,0.9878,0.000312214,0.000312214,0.000312214
62,2939.19,1.1262,0.67669,0.9782,0.72465,0.6158,0.66927,0.39622,1.20042,0.69874,0.98533,0.000304601,0.000304601,0.000304601
63,4101.32,1.12869,0.67989,0.97666,0.6998,0.62289,0.66753,0.39407,1.21152,0.69982,0.98854,0.000296988,0.000296988,0.000296988
64,4147.64,1.11979,0.67502,0.97713,0.67934,0.62272,0.65979,0.38429,1.21486,0.70496,0.98845,0.000289375,0.000289375,0.000289375
65,4194.05,1.11326,0.66901,0.97456,0.67188,0.61898,0.65601,0.38652,1.24105,0.7098,0.99344,0.000281762,0.000281762,0.000281762
66,4241.17,1.11105,0.66708,0.97107,0.69738,0.60838,0.65599,0.38454,1.21271,0.70487,0.98837,0.000274148,0.000274148,0.000274148
67,4288.09,1.09748,0.65474,0.9665,0.70545,0.61597,0.66031,0.38907,1.19996,0.69893,0.98638,0.000266535,0.000266535,0.000266535
68,4335.09,1.10729,0.6619,0.97298,0.68866,0.61443,0.6596,0.3864,1.24561,0.70554,0.99502,0.000258922,0.000258922,0.000258922
69,4382.11,1.10618,0.65908,0.97176,0.69783,0.6239,0.66073,0.39129,1.19616,0.70072,0.98591,0.000251309,0.000251309,0.000251309
70,4429.94,1.0931,0.65291,0.96791,0.7125,0.60622,0.66146,0.39125,1.21709,0.70085,0.99044,0.000243696,0.000243696,0.000243696
71,4476.17,1.09771,0.65271,0.9688,0.70136,0.62862,0.67011,0.39448,1.20055,0.69488,0.98806,0.000236083,0.000236083,0.000236083
72,4522.84,1.08769,0.6558,0.96973,0.71815,0.61492,0.66536,0.38887,1.21657,0.69632,0.98908,0.00022847,0.00022847,0.00022847
73,4568.99,1.08963,0.65272,0.9662,0.72082,0.6135,0.66256,0.38863,1.21855,0.69694,0.99294,0.000220857,0.000220857,0.000220857
74,4615.61,1.08867,0.64874,0.96357,0.71009,0.61844,0.66386,0.39372,1.21134,0.68712,0.98982,0.000213244,0.000213244,0.000213244
75,4661.96,1.08546,0.64801,0.96612,0.70823,0.59864,0.65142,0.38322,1.24247,0.70387,0.99832,0.000205631,0.000205631,0.000205631
76,4709.82,1.07053,0.64177,0.96184,0.72521,0.60945,0.66825,0.39499,1.21004,0.69582,0.98887,0.000198018,0.000198018,0.000198018
77,4758.72,1.06684,0.63202,0.95438,0.68365,0.62035,0.6648,0.38903,1.21175,0.69437,0.9912,0.000190404,0.000190404,0.000190404
78,4806.59,1.07785,0.64106,0.96229,0.7432,0.60943,0.67212,0.39187,1.21212,0.68992,0.99537,0.000182791,0.000182791,0.000182791
79,4853.4,1.0608,0.63144,0.95929,0.71889,0.59419,0.66123,0.38959,1.21523,0.69142,0.99287,0.000175178,0.000175178,0.000175178
80,4900.22,1.06921,0.63367,0.95957,0.72553,0.6056,0.66822,0.39148,1.22636,0.69432,0.99436,0.000167565,0.000167565,0.000167565
81,4947.42,1.0648,0.62692,0.95673,0.69091,0.61899,0.66484,0.3889,1.22441,0.69716,0.99539,0.000159952,0.000159952,0.000159952
82,4994,1.06264,0.63181,0.95763,0.7355,0.6043,0.67136,0.39515,1.21549,0.68712,0.99125,0.000152339,0.000152339,0.000152339
83,5040.61,1.06438,0.6357,0.9599,0.71431,0.62344,0.67431,0.39705,1.21523,0.68538,0.99117,0.000144726,0.000144726,0.000144726
84,5086.83,1.05345,0.6236,0.95572,0.71355,0.61984,0.67125,0.39343,1.22931,0.69241,0.99497,0.000137113,0.000137113,0.000137113
85,5133.48,1.05253,0.61738,0.95192,0.74018,0.61289,0.67406,0.39778,1.22473,0.68765,0.99399,0.0001295,0.0001295,0.0001295
86,5180.08,1.0393,0.61988,0.95375,0.72792,0.62035,0.66967,0.39519,1.22399,0.68421,0.99504,0.000121887,0.000121887,0.000121887
87,5227.06,1.04904,0.61392,0.94962,0.72456,0.62594,0.67362,0.39812,1.21239,0.68412,0.99229,0.000114273,0.000114273,0.000114273
88,5273.4,1.04818,0.61802,0.94946,0.72373,0.60784,0.66607,0.39507,1.21482,0.69168,0.99204,0.00010666,0.00010666,0.00010666
89,5320.02,1.04447,0.61639,0.95326,0.71769,0.62017,0.66221,0.3914,1.21346,0.69236,0.99401,9.90472e-05,9.90472e-05,9.90472e-05
90,5366.85,1.04277,0.61006,0.94362,0.72188,0.62279,0.66846,0.39201,1.22206,0.69101,0.99484,9.14341e-05,9.14341e-05,9.14341e-05
91,5452.16,1.0256,0.57538,0.9421,0.70005,0.62384,0.65907,0.38933,1.21828,0.69353,0.99487,8.3821e-05,8.3821e-05,8.3821e-05
92,5497.5,1.01594,0.56645,0.93752,0.69552,0.63123,0.6604,0.38422,1.22702,0.69909,0.99627,7.62079e-05,7.62079e-05,7.62079e-05
93,5542.99,1.00278,0.56202,0.93421,0.70934,0.6293,0.66546,0.38872,1.22491,0.69448,0.99595,6.85948e-05,6.85948e-05,6.85948e-05
94,5588.77,0.99415,0.55595,0.93215,0.72321,0.6159,0.66333,0.38891,1.22922,0.69821,0.99707,6.09817e-05,6.09817e-05,6.09817e-05
95,5633.8,0.98952,0.55198,0.93247,0.7223,0.62933,0.66458,0.38977,1.22065,0.69495,0.99598,5.33686e-05,5.33686e-05,5.33686e-05
96,5678.66,0.99339,0.55216,0.93151,0.72382,0.62453,0.66307,0.39042,1.22427,0.69557,0.99592,4.57555e-05,4.57555e-05,4.57555e-05
97,5723.68,0.99064,0.5519,0.93402,0.72493,0.62717,0.66651,0.3935,1.22354,0.69703,0.99575,3.81424e-05,3.81424e-05,3.81424e-05
98,5769.22,0.97984,0.5475,0.92793,0.725,0.62435,0.66719,0.39265,1.22549,0.6964,0.99636,3.05293e-05,3.05293e-05,3.05293e-05
99,5814.17,0.98123,0.54724,0.9286,0.72237,0.6239,0.66604,0.39129,1.22594,0.69667,0.99646,2.29162e-05,2.29162e-05,2.29162e-05
100,5859.12,0.97698,0.54767,0.92669,0.72995,0.6255,0.66814,0.39284,1.22257,0.69587,0.9961,1.53031e-05,1.53031e-05,1.53031e-05
